snowpit_id,weight_above_target_layer,bending_stiffness_above_target_layer,dataset
18101,138.18,1833972319301.861,All Layer of Concern
23061,86.69,374051276325.4907,All Layer of Concern
23127,225.27,8953596939275.41,All Layer of Concern
17789,10.430000000000001,677712992.5491655,All Layer of Concern
18384,11.11,475252281.8210674,All Layer of Concern
18451,132.95,947434918263.4823,All Layer of Concern
22192,80.91,432160287829.2382,All Layer of Concern
20474,111.0,540848507492.9935,All Layer of Concern
33860,59.31,67295558904.25168,All Layer of Concern
21466,180.88,5918614570096.083,All Layer of Concern
19505,94.63999999999999,409820706176.09357,All Layer of Concern
22715,19.0,2122889648.3548906,All Layer of Concern
20710,202.56,7317538921307.61,All Layer of Concern
17754,40.78,28744028805.024582,All Layer of Concern
17562,33.61,18267964133.96648,All Layer of Concern
17612,56.550000000000004,78225955397.68304,All Layer of Concern
23596,37.89,15056279005.045958,All Layer of Concern
21593,24.31,14901712157.636549,All Layer of Concern
22842,192.66,5272685359891.996,All Layer of Concern
20130,31.59,8021581766.16296,All Layer of Concern
24438,197.17000000000002,8996721933199.75,All Layer of Concern
19524,43.150000000000006,27421703749.682735,All Layer of Concern
17319,10.96,699153549.8477585,All Layer of Concern
20261,138.69000000000003,1462429180854.3188,All Layer of Concern
18905,127.08,1084438084410.4816,All Layer of Concern
18072,71.71000000000001,314190357598.6747,All Layer of Concern
18843,18.310000000000002,3940611108.1369925,All Layer of Concern
20105,118.15,855423075387.2292,All Layer of Concern
18066,22.919999999999998,3646669528.241804,All Layer of Concern
19917,65.4,149097920536.10068,All Layer of Concern
17282,15.100000000000001,940853954.7337269,All Layer of Concern
19060,20.200000000000003,2856512587.9553266,All Layer of Concern
22450,78.53,352219023152.32733,All Layer of Concern
20663,30.02,17542201531.965572,All Layer of Concern
24276,32.33,15202581263.933418,All Layer of Concern
23660,25.550000000000004,7538926024.058124,All Layer of Concern
17377,23.7,8631714560.487505,All Layer of Concern
23636,19.8,9939694179.52067,All Layer of Concern
17860,11.71,463144697.432903,All Layer of Concern
23293,24.57,20681178635.742012,All Layer of Concern
21858,140.435,1382075685317.384,All Layer of Concern
17926,41.68000000000001,29155158782.415295,All Layer of Concern
20635,182.53000000000003,6284319855869.879,All Layer of Concern
19941,24.57,20681178635.742012,All Layer of Concern
21680,48.05,94746732967.2247,All Layer of Concern
19036,176.8,3922640743601.27,All Layer of Concern
25406,61.129999999999995,95783514753.14717,All Layer of Concern
18953,118.55,858406002709.6702,All Layer of Concern
25138,10.100000000000001,357064073.4944158,All Layer of Concern
25248,71.0,116307185454.2452,All Layer of Concern
22468,86.61,418415008756.1262,All Layer of Concern
24552,137.71,3442013446440.439,All Layer of Concern
24078,98.59,595344629379.4261,All Layer of Concern
21694,70.86,192770450419.32718,All Layer of Concern
22909,141.4,1538435883074.1401,All Layer of Concern
17429,73.75999999999999,171132450852.7371,All Layer of Concern
24372,99.17999999999999,474649787818.6269,All Layer of Concern
20166,51.75,120302669732.16096,All Layer of Concern
20485,193.9,5355107968598.185,All Layer of Concern
20399,77.19,271700218912.5088,All Layer of Concern
23353,45.36,77167392425.27669,All Layer of Concern
19235,191.99,6342465245755.768,All Layer of Concern
18280,6.9,66783336.0689935,All Layer of Concern
18139,31.590000000000003,13422740519.846144,All Layer of Concern
18413,155.28,2429428640652.902,All Layer of Concern
20093,44.09,58151066053.85559,All Layer of Concern
19309,162.14,2795049578560.5522,All Layer of Concern
24679,24.59,11147306794.938807,All Layer of Concern
23059,93.58000000000001,565345103484.4237,All Layer of Concern
17855,76.51,227101454558.96957,All Layer of Concern
24812,38.09,31320843073.306446,All Layer of Concern
19771,231.1,5690049192314.13,All Layer of Concern
20108,99.88,503083749069.9567,All Layer of Concern
24421,24.3,3651152374.2207365,All Layer of Concern
21204,95.66,295420745424.03326,All Layer of Concern
19684,20.200000000000003,2856512587.9553266,All Layer of Concern
21668,54.91,141531923067.79703,All Layer of Concern
20458,102.00999999999999,783927845583.799,All Layer of Concern
20172,42.29,25765946442.903175,All Layer of Concern
20728,68.19,87967782186.83615,All Layer of Concern
24996,280.55,18306837154220.516,All Layer of Concern
19628,166.21,3455678453908.4946,All Layer of Concern
21111,40.949999999999996,29238429090.504658,All Layer of Concern
17897,306.43999999999994,23413572085864.547,All Layer of Concern
19591,42.040000000000006,33665473602.40643,All Layer of Concern
18242,85.09,454087656770.32904,All Layer of Concern
20117,30.03,37759463325.339676,All Layer of Concern
19522,101.58,514621440770.4225,All Layer of Concern
19714,21.060000000000002,2376764967.7519884,All Layer of Concern
24264,89.37,1458390014380.9373,All Layer of Concern
19464,172.28,3750679966023.954,All Layer of Concern
24114,53.61000000000001,90983208133.06381,All Layer of Concern
24608,38.99,17259440697.02178,All Layer of Concern
17686,106.91000000000003,590302804596.8583,All Layer of Concern
20737,183.82,3170811585363.785,All Layer of Concern
22504,39.45,20924585268.9824,All Layer of Concern
20671,12.15,456394046.77759206,All Layer of Concern
18238,14.219999999999999,1864450345.0653014,All Layer of Concern
20447,79.0,319693131869.9078,All Layer of Concern
22168,295.13,23574506447643.336,All Layer of Concern
20948,45.63,35909976935.726295,All Layer of Concern
