,index,geldsetzer_group,count,mean,median,std,min,max,Q1,Q3,IQR,hand_hardness,geldsetzer_grain_form,geldsetzer_density,diff,diff_percent
0,2,1F / FC,521,298.2,288.0,104.4,0.0,918.0,250.0,342.86,92.86,1F,FC,250.0,-48.19999999999999,-16.16364855801475
1,102,P / RG,454,329.23,330.0,108.02,0.0,650.0,280.0,396.5,116.5,P,RG,273.0,-56.23000000000002,-17.079245512255874
2,7,1F / RG,453,281.94,273.0,112.9,0.0,596.0,220.0,350.0,130.0,1F,RG,202.0,-79.94,-28.353550400794497
3,25,4F / FC,376,267.14,250.0,112.16,0.0,897.0,208.75,328.5,119.75,4F,FC,204.0,-63.139999999999986,-23.63554690424496
4,97,P / FC,348,339.4,330.0,78.55,0.0,600.0,300.0,380.0,80.0,P,FC,296.0,-43.39999999999998,-12.787271655863282
5,99,P / MF,325,364.66,370.0,141.63,0.05,973.43,288.6,470.0,181.4,P,MF,,,
6,48,F / DF,312,135.98,120.0,79.34,0.1,760.0,100.0,160.0,60.0,F,DF,101.0,-34.97999999999999,-25.724371231063387
7,30,4F / RG,252,277.02,260.0,138.94,0.05,934.0,180.0,365.64,185.64,4F,RG,167.0,-110.01999999999998,-39.715544004043025
8,23,4F / DF,233,179.02,170.0,72.58,0.26,543.0,135.0,208.0,73.0,4F,DF,137.0,-42.02000000000001,-23.47223773880014
9,4,1F / MF,232,391.64,420.0,131.52,0.05,857.12,308.66,480.0,171.34,1F,MF,,,
10,50,F / FC,225,257.33,247.0,113.65,0.24,960.63,190.0,316.0,126.0,F,FC,158.0,-99.32999999999998,-38.600240935763416
11,84,K / MF,202,382.55,384.0,106.34,34.0,610.0,300.0,460.0,160.0,K,MF,,,
12,27,4F / MF,195,376.42,406.0,147.14,0.05,949.71,308.66,463.4,154.74,4F,MF,,,
13,53,F / PP,191,118.84,100.0,87.06,0.04,713.71,70.0,140.0,70.0,F,PP,81.0,-37.84,-31.84113093234601
14,110,P+ / RG,136,359.3,350.0,79.53,0.3,600.0,307.5,416.0,108.5,P+,RG,306.0,-53.30000000000001,-14.834400222655168
15,0,1F / DF,133,219.72,210.0,121.52,0.26,913.15,170.0,250.0,80.0,1F,DF,173.0,-46.72,-21.263426178772985
16,11,1F+ / FC,129,281.31,290.0,75.79,0.0,550.0,250.0,320.0,70.0,1F+,FC,265.0,-16.310000000000002,-5.797874231275107
17,108,P+ / MF,124,361.99,355.0,99.2,27.0,590.0,310.75,430.0,119.25,P+,MF,,,
18,113,P- / FC,122,313.95,316.0,63.83,0.28,462.0,270.0,350.0,80.0,P-,FC,281.0,-32.94999999999999,-10.495301799649623
19,16,1F+ / RG,115,275.77,270.0,94.47,0.0,540.0,220.0,326.5,106.5,1F+,RG,221.0,-54.76999999999998,-19.86075352648946
20,19,1F- / FC,111,261.54,250.0,64.21,28.0,461.56,230.0,300.0,70.0,1F-,FC,235.0,-26.54000000000002,-10.147587367133141
21,106,P+ / FC,105,371.23,360.0,75.91,190.0,600.0,340.0,420.0,80.0,P+,FC,311.0,-60.23000000000002,-16.224443067640014
22,52,F / MF,92,363.97,385.0,134.1,0.06,620.0,299.75,460.0,160.25,F,MF,,,
23,116,P- / RG,90,295.65,300.0,97.12,0.32,550.0,232.75,357.5,124.75,P-,RG,244.0,-51.64999999999998,-17.46998139692203
24,55,F / RG,87,241.46,226.0,140.68,0.05,575.0,154.5,389.0,234.5,F,RG,156.0,-85.46000000000001,-35.393025759960246
25,34,4F+ / FC,82,250.79,260.0,78.04,0.0,434.0,212.5,299.0,86.5,4F+,FC,219.0,-31.789999999999992,-12.675944016906573
26,115,P- / MF,71,355.98,360.0,116.88,19.0,580.0,275.0,442.0,167.0,P-,MF,,,
27,49,F / DH,69,271.35,251.97,94.08,0.24,530.0,223.0,315.0,92.0,F,DH,210.0,-61.35000000000002,-22.609176340519628
28,85,K / RG,66,371.46,425.0,152.92,0.0,572.0,347.0,467.5,120.5,K,RG,393.0,21.54000000000002,5.7987401066063695
