pit_id,pit_date,pit_name,operation_name,professional,pit_country,pit_region,pit_near_avalanche_location,LOC_grain_form,Comments
10947,2018-12-12,Bald 3.5 top,Telluride Ski Patrol,True,US,CO,flank,DH,
11769,2018-12-28,20181228 Perm closure,Sun Peaks Ski Resort,True,CA,BC,crown,DH,pit adjacent to glide release crown. Fracture line profile same
1268,2017-01-15,Prospect Mtn,Colorado Avalanche Information Center,True,US,CO,flank,DH,"Avalanche was snowmobile triggered, two days before (1/13)."
13559,2019-01-27,Logpile 2,,False,CA,BC,flank,DH,"Open trees, sun affected. West of logpile 2."
13792,2019-02-01,hanging valley,Big Sky Ski Patrol,True,US,MT,crown,DH,"pit was next to the crow of the deep slab avalanche that failed on 01/26/19, in the snow that did not avalanche."
13993,2019-02-05,Crown Profile - TSS,American Avalanche Institute,True,US,WY,crown,DH,Crown profile.  SS-N-D2-O.  Avalanche occurred at approx. 1:55 pm.  Toe reached the parking lot and moved vehicles 10s of feet.  Start zone angle measured between 38* - 43* (only measured in a few spots)  Ran from 6515' to 6190' (325')  Shot a couple run out angles.  Measured between 27* in one spot and 25* in another.  Crown width = approx. 800 feet wide.
14141,2019-02-10,Windy Ridge Fatality,Utah Avalanche Center,True,US,UT,flank,DH,
14302,2019-02-13,Cement Creak,,False,US,CO,crown,DH,"This is a fracture line profile performed on an slide that occurred right off State Highway 110A, on the east side of the road, across from Niagara Gulch.The approximate width was 50', track ran 80', and the length was 100'. The bed surface was a grassy slope, above a creek, with an unsupportive base. "
1586,2017-01-29,V Max Avalache,Chugach National Forest Avalanche Center,True,US,AK,flank,DH,V Max Avalanche flank profile
16135,2019-02-10,Sa SIMA,Yukon Avalanche Association,True,CA,Yukon,crown,DH,
17865,2019-12-04,West Desolation,Utah Avalanche Center,True,US,UT,flank,DH,Dug on low angle sub-ridge between two recent natural avalanches
18030,2019-12-07,Fifis 1.5 ,,False,US,CO,flank,DH,
1804,2017-01-20,"Vail Narrows, Top",Colorado Avalanche Information Center,True,US,CO,crown,DH,With RonSimenhois
18179,2019-12-09,Lanes Leap,Utah Avalanche Center,True,US,UT,crown,DH,"Crown profile of remotely triggered avalanche from Dec 7th. It now has about 12 cm of snow plus some wind drifting on top of the crown and bed surface. The avalanche broke on top of facets at 24 cm
This path is a REPEATER which previously avalanched during the Thanksgiving week storms."
18998,2019-12-20,20191220,Colorado Avalanche Information Center,True,US,CO,crown,DH,
23225,2020-02-28,Groomer Crown Profile,Gallatin National Forest Avalanche Center,True,US,MT,crown,DH,This avalanche was triggered by a groomer at 8:15 p.m. on 2/27. Info is here: https://www.mtavalanche.com/node/22269
25335,2020-08-18,Ceatolei SE 148_2,Codelco Andina,True,CL,Andes,flank,DH,
25607,2020-11-16,Tiger's Crown Profile,CMC Avalanche Science Program,True,US,CO,crown,DH,R2-D2-As-U-G Avalanche triggered by a ski cut performed by a patroller.  Most likely occurred on the old October/Nov. 10th storm interface.
27661,2020-12-27,Chimney Chute ,Colorado Avalanche Information Center,True,US,CO,crown,DH,
27877,2021-01-01,Mineral Fork,Utah Avalanche Center,True,US,UT,flank,DH,"Because of an avalanche just above this pit and others in the area - I think the ECT results are skewed as the slope is likely to have already been collapsed many times.  In our travels, we had 3-6 collapses noted throughout the tour."
28376,2021-01-08,NE slope East Lime Ck,Colorado Avalanche Information Center,True,US,CO,flank,DH,
28714,2021-01-12,Guild Line crown,Solitude,True,US,UT,crown,DH,"Pit was dug skiers left side of crown to minimize hangfire exposure. Evidence of previous cross loading in start zone. Width of crown 40', the left flank pulled out down ridge. Slope angle greater on center and right side of crown. R3-D2."
29796,2021-01-28,Long Canyon,,False,US,NM,crown,DH,
30123,2021-02-01,Graysill Creek NTL,Purgatory Snowcats,True,US,CO,flank,DH,"Pit dug next to slide but in a spot more protected from wind. Slide ran on wind board formed during Jan 14 wind event, whereas LOC for pit was in Dec snow. A less defined wind influence from Jan 14 was ID'd @ 80-80.5cm"
30325,2021-02-06,Kesänkitunturi,Ylläs Ski patrol,True,FI,,crown,DH,"Maa kivirakkaa. Profiili tehty lumivyöryn murtumalinjaan. Trigger: Sa, Type: S, Fracture plane: FC (syvempi pääty) ja DH (ohuempi pääty). Vyöry oli 50m leveä ja 300m pitkä, kruunun korkeus 20-75cm, koko 3. Profiili: Elina Molkkari / Eeva Mäkelä."
30503,2021-02-08,Cornice Ridge Ax,Utah Avalanche Center,True,US,UT,crown,DH,
30657,2021-02-10,Overlook,Utah Avalanche Center,True,US,UT,flank,DH,Near a remotely triggered avalanche that occurred on 2-8-2021
30676,2021-02-09,Big Cut Crown Profile,Gallatin National Forest Avalanche Center,True,US,MT,crown,DH,"Avalanche: 150' wide x 200' vertical x 2.5' deep
Remote trigger from flat terrain 10' uphill of crown"
30960,2021-02-15,God's Lawnmower,Utah DOT,True,US,UT,flank,DH,
30973,2021-02-15,Beehive Fatality,Gallatin National Forest Avalanche Center,True,US,MT,crown,DH,This snowpit was part of the accident investigation of an avalanche that occurred on 2/14/2021. 1 splitboarder was killed.
31329,2021-02-21,Two Goons Avalanche,Park City Ski Patrol,True,US,UT,crown,DH,Pit was dug about 10' above the crown of a large D2.5-R4-AKr-O-5'x500'x1500' in Two Goons on Pinecone Ridge.
